Barrios;Unidades;Unidad Educativa
"ISAAC CHICO";"Unidad Educativa Particular Rosa de Jesus Cordero -Catalinas";"COLEGIO"
"ISAAC CHICO";"Unidad Educativa Rosa de Jesus Cordero";"ESCUELA"
"ISAAC CHICO";"Colegio Tecnico Ricaurte";"COLEGIO"
"MIGUEL CORDERO";"CIITT - Universidad Católica de Cuenca";"UNIVERSIDAD"
"CENTRO PARROQUIAL";"Escuela Estados Unidos de Norteamerica";"ESCUELA"
"JESÚS DEL GRAN PODER";"Unidad Educativa/Buena Esperanza";"ESCUELA"
"LA UNION";"Unidad Educativa Sudamericano";"ESCUELA"
"LA FLORIDA";"Unidad Educativa SANTIAGO DE COMPOSTELA";"ESCUELA"
"CENTRO PARROQUIAL";"C.E.I. Alberto Astudillo M.";"ESCUELA"
"MOLINOPAMBA ALTO";"Unidad Educativa San Francisco de Sales";"COLEGIO"
"MOLINOPAMBA ALTO";"UNITEC Discovery";"COLEGIO"
"CENTRO PARROQUIAL";"ABC Sueños Mágicos Centro de Educación";"ESCUELA"
"HUAJIBAMBA CHICO";"Escuela Federico Malo";"ESCUELA"
"SAN MIGUEL";"Escuela Vicente León Picón";"ESCUELA"
"LA DOLOROSA";"Manuel Maria Palacios Bravo";"ESCUELA"
"MOLINOPAMBA BAJO";"Escuela E.B. ""Hno. Enrique Vázquez Pacheco""";"ESCUELA"
"ISAAC CHICO";"ESCUELA DE EDUCACIÓN BÁSICA A CHICO";"ESCUELA"
"CENTRO PARROQUIAL";"COLEGIO DE BACHILLERATO RICAURTE";"COLEGIO"
"CENTRO PARROQUIAL";"CENTRO DE EDUCACIÓN INICIAL ALBERTO ASTUDILLO MONTESINOS";"ESCUELA"
